... building the model
... training
epoch 132, test error 103, learning_rate=0.769311845303 **
epoch 133, test error 115, learning_rate=0.767773270607
epoch 134, test error 112, learning_rate=0.766237735748
epoch 135, test error 111, learning_rate=0.764705300331
epoch 136, test error 106, learning_rate=0.763175904751
epoch 137, test error 109, learning_rate=0.761649549007
epoch 138, test error 122, learning_rate=0.760126292706
epoch 139, test error 102, learning_rate=0.758606076241 **
epoch 140, test error 107, learning_rate=0.757088899612
epoch 141, test error 110, learning_rate=0.755574762821
epoch 142, test error 110, learning_rate=0.754063606262
epoch 143, test error 112, learning_rate=0.75255548954
epoch 144, test error 120, learning_rate=0.751050412655
epoch 145, test error 118, learning_rate=0.749548316002
epoch 146, test error 110, learning_rate=0.748049259186
epoch 147, test error 103, learning_rate=0.746553182602
epoch 148, test error 113, learning_rate=0.74506008625
epoch 149, test error 103, learning_rate=0.743569970131
epoch 150, test error 114, learning_rate=0.742082834244
epoch 151, test error 119, learning_rate=0.740598678589
epoch 152, test error 110, learning_rate=0.739117503166
epoch 153, test error 114, learning_rate=0.737639307976
epoch 154, test error 110, learning_rate=0.736164033413
epoch 155, test error 112, learning_rate=0.734691739082
epoch 156, test error 109, learning_rate=0.733222365379
epoch 157, test error 110, learning_rate=0.731755912304
epoch 158, test error 120, learning_rate=0.730292439461
epoch 159, test error 118, learning_rate=0.728831887245
epoch 160, test error 112, learning_rate=0.727374255657
epoch 161, test error 116, learning_rate=0.725919544697
epoch 162, test error 115, learning_rate=0.724467694759
epoch 163, test error 106, learning_rate=0.72301876545
epoch 164, test error 105, learning_rate=0.721572756767
epoch 165, test error 111, learning_rate=0.720129609108
epoch 166, test error 101, learning_rate=0.718689382076 **
epoch 167, test error 105, learning_rate=0.717252016068
epoch 168, test error 109, learning_rate=0.715817511082
epoch 169, test error 110, learning_rate=0.714385867119
epoch 170, test error 113, learning_rate=0.712957084179
epoch 171, test error 107, learning_rate=0.711531162262
epoch 172, test error 105, learning_rate=0.710108101368
epoch 173, test error 108, learning_rate=0.708687901497
epoch 174, test error 107, learning_rate=0.707270562649
epoch 175, test error 108, learning_rate=0.705856025219
epoch 176, test error 106, learning_rate=0.704444348812
epoch 177, test error 106, learning_rate=0.703035473824
epoch 178, test error 104, learning_rate=0.701629400253
epoch 179, test error 107, learning_rate=0.700226187706
epoch 180, test error 113, learning_rate=0.698825776577
epoch 181, test error 106, learning_rate=0.697428166866
epoch 182, test error 107, learning_rate=0.696033298969
epoch 183, test error 112, learning_rate=0.694641232491
epoch 184, test error 120, learning_rate=0.69325196743
epoch 185, test error 113, learning_rate=0.691865503788
epoch 186, test error 98, learning_rate=0.69048178196 **
epoch 187, test error 106, learning_rate=0.689100861549
epoch 188, test error 109, learning_rate=0.687722682953
epoch 189, test error 109, learning_rate=0.68634724617
epoch 190, test error 114, learning_rate=0.684974551201
epoch 191, test error 109, learning_rate=0.683604598045
epoch 192, test error 120, learning_rate=0.682237386703
epoch 193, test error 117, learning_rate=0.680872917175
epoch 194, test error 103, learning_rate=0.679511189461
epoch 195, test error 107, learning_rate=0.67815220356
epoch 196, test error 96, learning_rate=0.676795899868 **
epoch 197, test error 109, learning_rate=0.67544233799
epoch 198, test error 105, learning_rate=0.674091458321
epoch 199, test error 106, learning_rate=0.672743320465
epoch 200, test error 108, learning_rate=0.671397864819
epoch 201, test error 105, learning_rate=0.670055091381
epoch 202, test error 99, learning_rate=0.668715000153
epoch 203, test error 103, learning_rate=0.667377591133
epoch 204, test error 110, learning_rate=0.666042864323
epoch 205, test error 110, learning_rate=0.664710819721
epoch 206, test error 109, learning_rate=0.663381397724
epoch 207, test error 112, learning_rate=0.662054657936
epoch 208, test error 108, learning_rate=0.660730540752
epoch 209, test error 110, learning_rate=0.659409105778
epoch 210, test error 111, learning_rate=0.658090293407
epoch 211, test error 107, learning_rate=0.656774103642
epoch 212, test error 110, learning_rate=0.655460596085
epoch 213, test error 110, learning_rate=0.654149711132
epoch 214, test error 106, learning_rate=0.652841448784
epoch 215, test error 107, learning_rate=0.65153580904
epoch 216, test error 104, learning_rate=0.650232732296
epoch 217, test error 101, learning_rate=0.648932278156
epoch 218, test error 100, learning_rate=0.647634446621
epoch 219, test error 102, learning_rate=0.646339178085
epoch 220, test error 101, learning_rate=0.645046532154
epoch 221, test error 102, learning_rate=0.643756449223
epoch 222, test error 111, learning_rate=0.642468929291
epoch 223, test error 109, learning_rate=0.641184031963
epoch 224, test error 101, learning_rate=0.639901697636
epoch 225, test error 103, learning_rate=0.638621926308
epoch 226, test error 104, learning_rate=0.637344717979
epoch 227, test error 108, learning_rate=0.636070072651
epoch 228, test error 107, learning_rate=0.634797930717
epoch 229, test error 103, learning_rate=0.633528351784
epoch 230, test error 103, learning_rate=0.63226133585
epoch 231, test error 118, learning_rate=0.630996823311
epoch 232, test error 104, learning_rate=0.629734873772
epoch 233, test error 104, learning_rate=0.628475427628
epoch 234, test error 103, learning_rate=0.627218484879
epoch 235, test error 110, learning_rate=0.625964045525
epoch 236, test error 109, learning_rate=0.624712109566
epoch 237, test error 106, learning_rate=0.623462677002
epoch 238, test error 102, learning_rate=0.622215747833
epoch 239, test error 102, learning_rate=0.62097132206
epoch 240, test error 104, learning_rate=0.619729399681
epoch 241, test error 111, learning_rate=0.618489980698
epoch 242, test error 104, learning_rate=0.617253005505
epoch 243, test error 104, learning_rate=0.616018533707
epoch 244, test error 103, learning_rate=0.614786505699
epoch 245, test error 114, learning_rate=0.613556921482
epoch 246, test error 105, learning_rate=0.61232984066
epoch 247, test error 109, learning_rate=0.611105203629
epoch 248, test error 113, learning_rate=0.609883010387
epoch 249, test error 103, learning_rate=0.608663260937
epoch 250, test error 109, learning_rate=0.607445955276
epoch 251, test error 113, learning_rate=0.606231093407
epoch 252, test error 110, learning_rate=0.605018675327
epoch 253, test error 109, learning_rate=0.603808641434
epoch 254, test error 97, learning_rate=0.602601051331
epoch 255, test error 116, learning_rate=0.601395845413
epoch 256, test error 108, learning_rate=0.600193083286
epoch 257, test error 101, learning_rate=0.598992705345
epoch 258, test error 106, learning_rate=0.59779471159
epoch 259, test error 102, learning_rate=0.596599161625
epoch 260, test error 114, learning_rate=0.595405995846
epoch 261, test error 109, learning_rate=0.594215214252
epoch 262, test error 113, learning_rate=0.593026816845
